"state","acclength","areacode","interplan","vmailplan","vmailmess","daycalls","daycharge","evecalls","evecharge","nightcalls","nightcharge","intlcalls","intlcharge","custservcalls","churn"
"VT",111,408,"no","no",0,112,16.88,136,22.99,94,10.14,6,2.43,3,"no"
"AL",102,408,"no","no",0,81,38.2,112,11,109,7.54,6,4.27,1,"no"
"ND",146,408,"no","yes",19,88,30.02,66,13.83,98,9.7,6,3.94,1,"no"
"NE",96,415,"no","no",0,92,30.7,114,16.23,125,13.3,4,2.78,1,"yes"
"ND",70,415,"no","yes",31,101,21.4,102,16.69,75,11.37,4,2.78,1,"no"
"ME",149,408,"no","no",0,79,40.39,107,16.35,111,9.33,9,2.46,0,"no"
"IL",129,415,"no","no",0,91,33.73,106,22.5,101,5.01,2,2.48,2,"no"
"MA",136,408,"yes","no",0,89,33.93,96,17.97,84,3.26,4,2.97,3,"yes"
"KS",149,510,"no","no",0,91,37.01,74,23.25,99,10.21,3,2.59,3,"no"
"RI",70,415,"no","no",0,96,22.9,90,20.05,113,11.71,6,2.05,3,"no"
"IA",66,510,"no","no",0,135,43.57,106,15.32,135,8.43,7,1.67,2,"no"
"WY",104,408,"no","no",0,133,31.21,98,10.26,112,9.68,2,3.43,1,"no"
"NV",160,415,"no","no",0,90,29.95,115,16.66,95,11.88,4,2.48,1,"no"
"WI",129,415,"no","yes",37,94,34.85,103,14.06,81,8.32,8,3.16,1,"no"
"AL",93,408,"no","no",0,114,45.54,74,18.96,90,11.82,3,3.05,3,"yes"
"HI",169,415,"no","no",0,111,30.46,130,14.89,92,10.29,6,2.67,2,"no"
"MO",58,415,"no","no",0,145,25.4,105,16.7,108,9.43,3,4.02,1,"no"
"CT",155,510,"no","no",0,108,28.12,103,15.61,108,3.61,4,2.4,3,"no"
"OH",119,415,"no","yes",27,128,37.42,133,22.8,80,6.59,3,3,0,"no"
"NV",86,510,"no","no",0,72,24.02,95,13.12,91,9.48,5,2.21,1,"no"
"MD",42,408,"no","no",0,89,33.41,123,20.51,105,6.44,7,1.08,0,"no"
"NE",127,510,"yes","no",0,114,30.75,118,17.81,105,11.25,4,2,2,"no"
"OH",123,408,"no","no",0,150,17.85,90,21.39,93,11.61,5,4.02,0,"no"
"OK",149,510,"no","yes",43,79,35.14,122,14.84,80,10.87,3,2.94,1,"no"
"MA",160,408,"no","no",0,109,28.36,117,20.06,77,13.84,1,2.51,1,"no"
"HI",132,415,"no","yes",15,128,26.28,106,20.88,90,6.69,4,2.46,1,"no"
"CO",137,415,"no","no",0,107,21.59,75,27.47,127,6.48,2,2.03,1,"no"
"FL",129,415,"yes","no",0,78,45.46,85,17.36,146,5.03,4,1.59,1,"no"
"WY",32,408,"no","no",0,82,29.1,102,15.78,64,9.15,7,2.75,1,"no"
"GA",86,510,"no","no",0,82,21.1,120,17.22,119,13.03,8,1.81,3,"no"
"FL",130,415,"no","no",0,113,27.68,111,24.68,140,5.17,3,1.94,1,"no"
"DE",73,415,"no","no",0,85,43.32,80,12.19,102,6.93,7,4.05,2,"no"
"ME",66,408,"no","yes",26,108,43.33,135,20.67,95,8.59,3,1.46,2,"no"
"DC",103,510,"no","yes",31,124,18.31,104,16.06,98,8.83,3,2.4,0,"no"
"IA",128,408,"no","no",0,75,27,91,22.51,77,12.15,7,2.05,1,"no"
"CO",104,415,"no","no",0,113,31.09,85,20.37,104,10.34,4,1.49,2,"no"
"VT",124,415,"no","no",0,72,30.33,134,19.86,91,8.07,2,3.24,0,"no"
"AZ",87,510,"no","no",0,91,18.85,115,13.47,131,9.34,5,1.67,1,"no"
"LA",109,415,"no","yes",27,85,28.37,92,18.8,97,8.88,4,3.32,1,"yes"
"MD",106,415,"no","no",0,118,28.1,101,17.85,93,8.42,3,2.3,2,"no"
"VT",125,415,"no","no",0,113,21.54,131,13.22,112,9.28,7,3.89,2,"no"
"DC",108,408,"no","yes",35,106,36.7,107,17.05,107,8.79,7,4.19,0,"no"
"WY",125,415,"no","no",0,132,23.82,126,17.82,77,11.88,2,2.16,1,"no"
"VA",89,415,"no","yes",32,113,35.68,104,21.23,92,10.09,7,2.35,1,"no"
"VA",72,510,"yes","yes",29,114,23.77,91,11.75,88,9.95,6,1.49,0,"no"
"WI",73,415,"no","no",0,90,36.41,78,16.73,112,7.11,8,1.59,0,"no"
"MD",61,415,"no","no",0,123,44.2,127,17.89,70,10.56,3,2.43,1,"yes"
"VT",73,408,"no","no",0,95,36.21,104,16.05,89,6.13,3,3.65,0,"no"
"UT",118,415,"no","yes",24,83,20.08,72,9.32,73,11.05,2,4.56,1,"no"
"NC",127,415,"no","yes",25,95,13.97,109,13.88,104,11.92,6,1.38,0,"no"
"NJ",42,415,"no","yes",32,80,27.85,123,15.11,106,8.57,5,2.19,0,"no"
"IA",45,510,"no","no",0,91,27.17,86,10.23,93,7.34,3,2.86,2,"no"
"GA",50,408,"no","yes",24,129,36.43,55,24.63,130,14.06,4,2.86,1,"no"
"MO",179,510,"no","no",0,123,48.84,114,24.48,112,11.97,4,2.84,0,"yes"
"MO",152,408,"no","no",0,122,17.2,87,12.04,124,8.93,3,2.03,2,"no"
"WY",105,415,"no","no",0,74,17.48,125,23.94,113,10.26,5,3.56,2,"no"
"HI",72,415,"no","no",0,97,18.55,96,9.83,84,13.31,6,2.24,0,"no"
"TX",125,415,"no","no",0,110,34.58,97,10.94,113,8.57,4,2.97,1,"no"
"VA",143,510,"no","no",0,113,18.72,59,14.37,94,7.5,2,2.48,1,"no"
"MS",1,415,"no","no",0,107,24.62,66,9.56,79,9.84,3,3.73,1,"no"
"KY",60,408,"no","no",0,134,23.02,85,17.5,103,9.18,4,2.13,1,"no"
"NC",43,415,"no","no",0,134,14.31,103,6.87,79,8.82,2,2.92,1,"no"
"NV",143,415,"no","no",0,127,35.55,80,9.02,90,8.08,6,3.78,0,"no"
"UT",81,415,"no","yes",24,117,22.12,61,16.66,123,6.27,5,3.08,0,"no"
"ME",205,510,"no","yes",24,139,29.89,98,13.18,64,8.13,5,2.11,2,"no"
"HI",24,415,"no","no",0,104,41.12,112,12.34,105,9.65,5,1.78,1,"no"
"OH",74,415,"no","no",0,106,23.24,105,19.43,114,11.94,4,2.65,0,"no"
"WV",77,510,"no","no",0,68,11.51,86,16.63,137,10.64,2,3.24,1,"no"
"OK",74,415,"no","no",0,87,34.07,105,26.28,118,6.84,2,2.7,1,"no"
"KY",74,510,"yes","no",0,103,21.39,96,17.65,143,9.33,4,3.81,1,"yes"
"AL",200,408,"no","no",0,87,21.79,105,11.32,123,7.99,2,3.02,1,"no"
"NE",91,510,"no","yes",37,107,27.59,115,19.88,94,12.48,4,2.48,0,"no"
"DC",76,415,"no","no",0,121,38.15,97,12.57,74,8.27,2,1.81,2,"no"
"TX",130,415,"no","no",0,127,20.49,52,16.12,107,12.15,2,3.86,1,"no"
"OH",56,408,"no","no",0,90,15.49,115,15.24,89,13.53,8,3.21,2,"no"
"DE",117,415,"no","no",0,137,28.7,107,20.52,106,9.22,4,4.19,0,"no"
"IA",63,510,"no","no",0,81,26.1,115,24.42,85,10.36,5,1.76,2,"no"
"VT",126,415,"no","no",0,88,38.45,114,11.93,110,9.4,2,1.73,0,"no"
"OR",132,510,"no","no",0,107,32.62,127,17.59,88,12.24,2,3.4,1,"no"
"NC",122,415,"no","no",0,88,30.6,77,12.33,120,10.52,6,3.11,2,"no"
"NJ",46,408,"no","no",0,67,43.76,91,22.19,107,9.2,5,3.62,2,"yes"
"MN",150,415,"no","yes",28,75,29.65,80,14.44,130,9.07,4,2.97,1,"no"
"ID",99,408,"no","no",0,83,27.15,121,13.21,114,11.51,3,2.27,1,"no"
"AL",87,408,"no","no",0,124,40.32,87,18.92,81,7.8,3,2.97,1,"no"
"AK",108,415,"no","no",0,129,17.51,103,20.6,89,7.66,3,2.13,1,"no"
"PA",53,415,"no","no",0,86,34.87,95,13.64,142,6.73,2,2.89,3,"no"
"AK",132,415,"no","yes",39,93,29.87,94,15.91,118,10.15,3,2.32,2,"no"
"CA",158,510,"no","no",0,123,26.5,112,19.06,116,9.95,8,2.32,2,"no"
"MS",114,415,"no","yes",34,109,26.25,142,18.82,103,9.38,5,2.78,0,"no"
"AR",77,415,"no","yes",23,73,35.65,63,15.61,111,9.25,3,1.92,2,"no"
"AL",91,510,"no","yes",23,97,39.51,88,15.81,128,8.57,3,3.32,3,"no"
"GA",58,408,"no","no",0,100,28.12,87,9.83,118,8.72,5,3.46,2,"no"
"MA",97,408,"no","no",0,81,36.99,51,27.24,110,6.78,3,1.13,0,"no"
"NJ",107,415,"no","no",0,95,36.06,88,12.76,111,9.89,2,2.08,3,"no"
"MO",142,415,"no","yes",30,75,26.18,97,14.09,83,12.15,5,2.92,1,"no"
"NY",9,408,"no","yes",31,130,32.95,98,17.22,102,8.6,2,3.59,1,"no"
"AZ",73,415,"no","no",0,130,29.82,105,21.09,85,5.51,4,3.29,0,"no"
"NJ",48,510,"no","yes",22,63,25.84,131,22,109,11.84,5,4.24,2,"yes"
"WV",43,408,"no","no",0,147,39.13,121,15.87,100,5.78,3,2.48,0,"no"
"NM",122,408,"no","yes",33,103,29.73,105,21.1,116,7.41,3,3.65,1,"yes"
"SC",93,415,"no","no",0,68,32.33,64,22.29,92,5.85,4,2.38,0,"no"
"VT",85,415,"no","no",0,122,29.99,123,19.12,50,9.88,1,3.11,1,"no"
"TN",59,415,"no","no",0,95,27.35,65,21.35,97,12.3,5,1.35,3,"no"
"LA",87,415,"no","no",0,90,38.88,99,13.86,90,6.93,3,3.19,1,"no"
"OH",137,408,"no","no",0,90,24.48,100,15.44,93,5.76,2,3.32,0,"no"
"KY",104,415,"no","no",0,77,22.19,117,11.15,63,11.91,6,3.51,0,"no"
"OR",161,415,"no","no",0,70,17.92,122,18.26,126,10.06,5,2.11,0,"no"
"TX",50,510,"no","no",0,94,32.11,104,17.33,124,6.83,8,3.13,3,"no"
"MO",103,408,"no","yes",24,85,19.01,102,20.37,81,12.07,4,1.86,1,"no"
"MN",92,510,"no","no",0,105,36.11,118,19.09,105,9.96,4,2.43,1,"no"
"NV",77,415,"no","no",0,112,24.19,111,26.04,82,8.84,1,2.67,1,"no"
"FL",159,415,"no","yes",15,102,19.36,146,12.35,137,8.78,9,3.19,1,"no"
"KS",110,415,"yes","yes",27,103,45.54,74,22.38,106,8.01,2,2.24,1,"yes"
"NV",138,510,"no","no",0,117,29.14,128,9.79,115,10.1,4,4.59,3,"no"
"NV",178,408,"no","no",0,150,46.82,62,15.94,126,6.62,3,3.67,1,"no"
"SC",38,415,"no","yes",31,118,33.52,70,21.24,104,13.45,2,1.05,0,"no"
"MI",50,415,"no","yes",35,97,32.74,101,11.49,101,9.73,2,2.13,2,"no"
"TN",70,510,"no","no",0,99,21.47,106,12.04,96,11.52,2,2.59,0,"no"
"NY",147,510,"no","yes",33,107,42.76,110,19.9,87,9.6,6,2.81,3,"no"
"NV",94,510,"no","no",0,108,32.4,95,12.95,97,6.51,5,2.03,1,"no"
"IL",179,510,"no","no",0,101,19.74,99,17.15,103,8.19,5,3.13,0,"no"
"MS",116,415,"no","no",0,91,36.94,95,18.37,76,6.66,3,3.05,2,"no"
"ND",59,510,"no","no",0,80,30.5,99,19.76,105,7.91,3,3.97,0,"no"
"MI",133,408,"no","no",0,138,47.14,117,19.41,103,5.28,4,3.46,2,"yes"
"TN",140,415,"no","no",0,84,21.3,121,14.25,94,11.73,4,2.27,1,"no"
"VT",93,408,"no","yes",32,91,23.48,72,14.22,115,10.75,3,1.84,2,"no"
"OK",52,510,"no","yes",38,88,28.78,97,19.2,86,7.74,3,2.21,0,"no"
"DE",64,415,"no","yes",27,101,34.22,89,12.22,127,6.76,3,3.32,1,"no"
"ND",12,510,"yes","no",0,117,36.84,126,9.9,110,9.9,4,2.65,2,"no"
"OR",48,415,"no","no",0,92,32.37,85,26.99,113,6,4,2.24,2,"no"
"NY",181,408,"no","no",0,91,24.36,58,16.62,95,10.05,7,1.62,1,"no"
"MO",168,415,"no","yes",42,57,16.56,98,17.31,124,7.83,2,3.08,2,"no"
"FL",155,415,"no","no",0,111,30.84,92,14.25,122,7.58,3,3.05,3,"no"
"ND",105,510,"no","no",0,83,41.89,101,21.78,151,7.61,4,1.03,0,"no"
"NY",11,415,"no","no",0,130,24.38,50,24.6,100,8.73,6,2.62,2,"no"
"ND",182,415,"no","no",0,111,17.83,120,16.87,91,11.62,5,2.16,2,"no"
"NY",104,415,"no","no",0,93,26.55,54,16.41,94,10.02,5,3.54,1,"no"
"OH",102,415,"no","no",0,125,19.52,126,6.96,101,13.69,4,3.24,0,"no"
"AL",122,415,"no","no",0,96,39.53,120,17.47,91,9.62,2,3.21,0,"no"
"SC",41,415,"no","no",0,117,24.41,108,12.95,110,8.75,3,2.32,1,"no"
"GA",132,415,"no","no",0,132,30.04,80,20.75,120,7.93,4,2.46,2,"no"
"WY",76,415,"no","no",0,148,44.78,69,19.58,101,7.68,5,3.08,1,"yes"
"WV",13,415,"no","no",0,74,24.89,92,12.62,96,9.75,3,3.05,1,"no"
"LA",154,510,"no","no",0,99,28.37,97,13.17,89,8.52,5,1.94,0,"no"
"AR",100,510,"no","no",0,87,24.23,88,16.63,117,5.49,8,2.11,2,"no"
"AK",146,510,"yes","no",0,65,22.61,93,22.34,128,9.64,3,3.02,1,"no"
"DC",148,415,"no","yes",11,129,42.99,88,24.17,99,11.83,1,3.32,1,"no"
"AL",67,415,"no","yes",28,94,16.15,73,24.75,114,7.18,2,2.7,2,"no"
"UT",161,510,"yes","no",0,106,33.01,105,21.2,129,11.47,1,3.48,1,"yes"
"MN",116,510,"no","no",0,82,34.31,95,19.68,130,10.17,5,4.46,0,"no"
"VA",99,415,"no","yes",42,125,36.72,104,19.75,100,9.7,4,2.51,2,"yes"
"UT",87,415,"no","no",0,108,24.87,102,14.6,66,7.54,9,1.43,1,"no"
"IN",87,510,"no","no",0,85,39.92,91,11.98,93,9.19,5,2.57,1,"no"
"CT",70,408,"no","no",0,111,33.76,115,18.18,105,7.7,6,2.86,2,"no"
"DE",131,408,"no","no",0,80,16.05,101,18.28,108,8.09,9,3.54,2,"no"
"VT",119,510,"no","no",0,74,32.37,113,18.33,111,7.25,1,2.7,2,"no"
"MO",119,408,"no","yes",32,77,24.24,126,17.7,102,7.69,2,3.24,3,"no"
"RI",87,510,"yes","no",0,80,22.81,71,14.03,102,7.79,5,2.89,0,"no"
"RI",75,415,"no","no",0,89,20.88,104,17.96,91,11.76,2,2.89,2,"no"
"IN",161,510,"no","yes",38,112,40.87,102,17.15,112,9.27,6,4.35,0,"no"
"FL",91,510,"yes","yes",24,112,15.9,128,15.59,133,10.83,3,2.67,0,"no"
"KS",124,415,"no","no",0,104,26.96,77,17.95,104,8.07,8,2.75,3,"no"
"RI",158,510,"no","no",0,129,37.55,108,20.59,75,10.5,5,1.73,0,"no"
"NV",102,415,"no","no",0,87,24.55,128,22.65,59,9.79,7,1.92,0,"no"
"UT",85,510,"no","no",0,107,36.09,103,19.41,116,7.35,3,2.08,0,"no"
"OK",79,510,"no","no",0,72,24.99,102,14.08,107,10.94,9,2.27,1,"no"
"MN",139,510,"no","yes",25,112,16.35,70,15.21,84,8.19,10,3.48,2,"no"
"NC",103,415,"no","no",0,118,44.78,69,15.22,112,9.66,2,2.78,0,"no"
"NH",78,408,"no","no",0,116,27.59,86,16.35,100,10.83,3,2.73,2,"no"
"OR",161,415,"no","no",0,109,30.28,86,12.45,78,6.19,2,2.3,1,"no"
"KS",67,408,"no","no",0,101,34.24,122,8.3,119,9.11,3,1.89,0,"no"
"GA",92,510,"no","no",0,125,35.36,76,16.91,97,3.44,6,2.32,0,"no"
"NM",174,415,"no","no",0,72,40.66,124,16.02,116,4.75,3,2.38,1,"no"
"OH",124,510,"no","no",0,97,32.81,99,7.63,104,7.78,3,4.13,1,"no"
"ND",132,415,"no","yes",31,101,29.67,105,20.88,76,7.78,9,2.78,1,"no"
"RI",190,415,"no","yes",26,71,19.84,88,12.4,103,7.88,3,2.67,1,"no"
"HI",101,510,"no","no",0,127,15.95,104,12.75,116,10.85,2,2.89,1,"no"
"WY",185,415,"yes","yes",30,114,26.2,106,10.09,105,11.63,3,3.48,2,"no"
"NY",68,415,"no","yes",29,82,40.72,105,17.32,70,7.55,6,2.67,0,"no"
"KS",117,510,"no","yes",25,140,36.72,69,19.05,112,12.06,4,3.19,0,"no"
"LA",118,408,"no","no",0,97,31.86,89,15.11,97,10.5,6,3.29,1,"no"
"PA",124,415,"no","no",0,119,28.46,143,19.82,115,4.93,5,2.78,0,"no"
"NV",22,510,"no","no",0,108,27.27,88,18.54,115,8.68,4,3.38,1,"no"
"MN",75,415,"no","no",0,92,24.34,142,17.77,96,7.79,9,3.21,1,"no"
"NY",44,510,"no","no",0,77,24.34,114,14.43,77,9.71,4,2.05,1,"no"
"ME",177,415,"no","no",0,106,39.58,97,14.89,77,9.55,7,3.38,2,"no"
"NH",110,408,"no","no",0,81,27.54,89,21.04,99,7,8,2.4,0,"no"
"ME",80,408,"no","no",0,113,54.79,95,18.87,123,7.33,8,1.81,0,"yes"
"MN",158,408,"no","no",0,112,35.68,82,18.81,93,9.45,3,2.21,1,"no"
"NC",64,408,"no","yes",19,150,49.49,123,19.27,67,9.86,2,2.03,1,"no"
"SD",88,415,"no","no",0,115,36.65,85,18.38,65,7.71,1,3.19,3,"no"
"UT",82,510,"yes","no",0,101,35.5,87,18.16,86,7.88,6,3.35,3,"no"
"KY",111,415,"no","no",0,97,43.5,129,17.35,84,7.71,5,3.32,3,"no"
"MT",60,408,"no","no",0,97,42.96,121,18.79,100,4.95,4,3.35,2,"no"
"NJ",113,408,"no","no",0,72,22.46,107,21.04,123,11.08,6,1.86,3,"no"
"FL",109,408,"no","no",0,115,36.89,142,17.6,106,12.06,4,2.21,1,"no"
"IN",105,510,"no","yes",42,79,17.32,97,18.96,77,10.87,2,3.48,0,"no"
"DE",85,510,"no","no",0,100,35.96,88,15.69,131,7.39,4,3.59,2,"no"
"AL",131,510,"no","no",0,86,26.08,81,16.87,83,7.4,3,2.81,0,"no"
"ME",59,510,"no","no",0,95,28.27,87,20.34,108,5.54,3,2.7,2,"no"
"AK",115,415,"no","no",0,105,41.68,109,13.52,74,10.35,8,1.94,0,"no"
"ID",106,510,"no","no",0,120,46.65,82,16.88,62,7.24,3,1.62,1,"no"
"RI",93,415,"no","no",0,78,16.73,129,21.22,114,11.17,4,3.83,1,"no"
"KY",57,415,"no","yes",29,121,47.58,109,18.96,94,11.33,2,3.51,1,"no"
"ND",98,510,"no","no",0,127,31.82,88,16.63,129,8.18,4,1.38,1,"no"
"WI",116,415,"no","yes",35,104,34.07,89,23.19,100,9.65,4,2.24,1,"no"
"WV",30,510,"no","no",0,96,27.59,122,20.74,89,8.1,4,2.46,2,"no"
"KS",52,415,"no","no",0,78,28.14,89,17.47,124,9.61,6,3.29,0,"no"
"NJ",135,510,"no","yes",28,100,34.24,117,20.95,131,6.97,4,3.48,2,"yes"
"NC",86,510,"no","no",0,115,32.39,130,15.27,89,11.63,5,2.73,3,"no"
"DE",98,415,"no","yes",29,97,30.58,89,16.08,76,7.39,7,3.46,3,"no"
"WY",151,510,"no","no",0,104,40.1,91,6.85,116,9.58,2,1.57,3,"no"
"NY",117,415,"no","no",0,115,24.58,66,22,113,11.39,9,2,2,"no"
"MO",55,510,"no","no",0,100,32.13,99,10.07,87,11.16,6,4.62,0,"no"
"ID",82,408,"no","no",0,93,17.17,104,13.23,93,13.7,2,3.59,0,"no"
"TN",108,408,"no","yes",15,85,28.07,93,22.7,114,11.28,4,2.94,1,"no"
"OH",98,408,"no","no",0,129,28.05,113,17.22,94,7.75,7,3.38,1,"yes"
"IL",130,415,"no","no",0,95,26.5,97,21.77,103,11.83,3,3.16,3,"no"
"FL",136,408,"yes","no",0,122,33.86,114,18.25,105,6.79,7,3.19,1,"no"
"MA",47,415,"no","no",0,116,26.4,85,16,73,11.12,4,3.32,3,"no"
"OK",189,415,"no","no",0,106,35.41,123,20.12,120,8.06,5,3.05,3,"no"
"KY",107,415,"no","no",0,79,26.71,124,13.82,138,6.75,6,3.27,1,"no"
"NE",159,415,"no","no",0,105,32.15,147,20.92,106,10.89,5,2.81,1,"yes"
"VA",11,408,"no","yes",24,98,22.36,111,19.57,87,12.77,3,2.7,2,"no"
"NY",167,415,"no","no",0,85,28.29,135,20.67,95,10.31,5,2.67,1,"no"
"MT",111,408,"no","no",0,75,24.19,106,10.44,94,10.33,9,3.46,2,"no"
"VT",99,408,"no","yes",19,103,14.91,86,18.96,112,8.2,4,1.97,2,"no"
"KS",159,415,"no","yes",19,78,31.3,71,16.53,101,10.15,3,4.56,0,"no"
"VA",114,415,"yes","yes",31,104,29.67,92,19.06,91,5.23,10,3.32,2,"no"
"AL",71,415,"no","no",0,103,17.56,79,11.77,98,7.42,2,2.43,2,"no"
"AL",100,408,"no","yes",25,94,41.92,112,12.02,109,8.54,5,3.51,1,"no"
"WV",83,415,"no","yes",37,109,13.35,101,17.89,102,8.09,4,3.19,1,"no"
"TN",105,408,"no","no",0,84,35.05,138,21.79,91,5.27,3,2.43,1,"no"
"ID",144,415,"no","yes",33,87,42.77,118,16.8,97,9.41,3,3.29,2,"no"
"WY",106,415,"yes","yes",26,111,45.95,90,18.29,133,11.43,7,3.89,1,"yes"
"TX",19,510,"no","yes",34,97,26.62,97,19.06,135,11.74,1,3.05,1,"no"
"MA",46,408,"no","no",0,81,23.7,113,19.01,77,7.79,6,3.67,1,"no"
"IL",127,510,"no","no",0,108,37.43,124,16.01,113,7.77,3,3.16,2,"no"
"LA",9,415,"no","yes",39,108,36.4,115,14.38,117,8.54,3,2.73,1,"no"
"CO",157,415,"no","no",0,74,33.32,96,18.14,81,8.86,6,2.13,1,"no"
"MI",105,415,"no","yes",29,113,30.5,100,23.41,105,11.07,5,2.7,0,"no"
"ID",31,415,"no","no",0,129,30.14,105,12.99,92,7.33,2,1.38,0,"no"
"WA",161,415,"no","no",0,117,25.77,87,18.65,68,10.11,5,1.08,1,"no"
"MN",95,408,"no","yes",32,123,44.57,82,14.04,57,8.74,5,2.86,0,"no"
"NY",122,415,"no","no",0,110,29.51,84,7.79,103,9.53,7,2.62,3,"no"
"MD",37,415,"yes","no",0,76,18.12,89,12.53,113,10.61,8,2.59,2,"no"
"HI",119,408,"no","yes",24,94,36.92,52,11.79,85,6.27,4,3.05,0,"no"
"AL",16,408,"no","no",0,89,35.62,85,14.69,102,4.23,4,2.38,1,"no"
"CT",99,408,"no","no",0,105,16.22,101,17.61,117,6.12,5,1.51,1,"no"
"CO",76,408,"no","yes",26,110,36.48,87,17.44,140,6.06,2,2.19,1,"no"
"NJ",129,415,"no","no",0,117,28.63,129,18.45,100,3.67,7,3.19,1,"no"
"FL",116,408,"no","no",0,123,24.89,113,15.01,102,9.57,5,2.11,1,"no"
"CA",60,415,"yes","no",0,110,31.11,93,17.57,119,9.17,6,3,1,"no"
"KS",128,415,"no","no",0,122,17.56,123,20.9,95,7.25,7,1.73,0,"no"
"TX",47,408,"no","yes",28,70,19.07,106,13.16,105,7.5,2,2.86,0,"no"
"MN",40,510,"yes","no",0,55,29.02,108,15.22,89,12.69,9,2.21,3,"no"
"AK",173,510,"no","no",0,78,29.33,91,12.12,63,4.59,2,2.94,0,"no"
"OR",157,510,"no","yes",30,107,33.03,108,20.67,114,14.5,5,1.92,1,"no"
"MS",66,408,"no","yes",32,117,31.93,90,11.03,113,5.95,3,3.24,2,"no"
"VT",50,415,"yes","yes",26,94,52.21,78,24.6,109,7.87,3,2.16,0,"no"
"UT",72,415,"no","no",0,106,20.09,136,14.21,106,9.64,3,3.29,3,"no"
"KS",130,510,"no","no",0,95,26.18,106,17.5,75,10.52,1,3.48,1,"no"
"DE",89,510,"yes","no",0,108,21.35,90,18.11,108,8.18,5,1.46,1,"no"
"IN",108,415,"no","no",0,104,33.88,92,19.06,57,6.3,2,4.1,0,"no"
"TX",32,408,"no","no",0,88,26.84,132,15.37,102,5.96,3,3.46,1,"no"
"MA",166,415,"no","no",0,81,34.58,110,14.25,124,5.94,5,2.48,2,"no"
"VT",109,408,"no","no",0,113,37.77,122,18.57,88,11.97,5,2.94,1,"no"
"CA",72,408,"no","yes",39,98,15.78,115,23.05,83,7.52,7,1.57,1,"no"
"IA",134,415,"no","yes",32,78,36.86,111,8.69,83,7.83,2,2.32,0,"no"
"GA",90,415,"no","no",0,108,19.24,63,16.09,124,12.23,4,3.81,3,"no"
"WI",111,415,"no","yes",36,54,28.25,109,20.3,92,4.9,2,3.02,3,"no"
"SC",72,415,"no","no",0,92,35.33,110,16.63,124,8.32,4,3.54,0,"no"
"MI",67,510,"no","yes",35,89,41.72,102,12.6,136,12.33,6,2.03,1,"no"
"MD",172,408,"no","no",0,108,48.81,125,15.16,98,6.89,2,3.89,3,"yes"
"IN",154,510,"no","yes",32,82,32.69,134,14.05,74,9.23,1,2.43,2,"no"
"ME",69,510,"no","no",0,122,33.01,81,20.58,80,9.71,3,2.62,2,"no"
"DC",123,415,"no","no",0,92,35.87,102,18.45,104,9.67,7,2.65,3,"no"
"TN",130,415,"no","yes",12,92,24.12,102,19.46,101,8.78,5,2.35,0,"no"
"FL",142,415,"no","yes",26,94,37.49,126,20.36,109,11.44,9,1.59,2,"no"
"WA",29,415,"no","no",0,122,26.76,75,12.33,92,12.68,2,2.51,1,"no"
"HI",87,408,"no","yes",28,106,24.4,147,19,69,7.89,5,3.02,0,"no"
"TN",146,408,"yes","no",0,63,27.22,112,17.71,98,7.99,3,2.48,2,"no"
"VT",48,510,"no","no",0,63,32.03,89,14.1,71,9.26,2,3.56,1,"no"
"OR",135,415,"no","no",0,97,33.12,118,20,126,7.85,3,2.97,1,"no"
"IN",100,510,"no","no",0,117,42.13,95,11.05,125,6.04,2,1.86,1,"no"
"FL",75,510,"no","yes",26,86,20.15,118,18.18,99,5.97,3,3.62,2,"no"
"DC",180,415,"no","yes",33,78,39.41,79,19.8,121,9.31,4,2.05,1,"no"
"OH",119,415,"no","yes",35,92,36.91,134,18.77,93,11.23,5,2.16,2,"no"
"LA",155,408,"no","yes",39,106,31.16,101,17.43,90,11.87,7,1.38,1,"no"
"IL",78,415,"yes","no",0,141,40.26,101,22.55,77,6.86,2,2.57,1,"yes"
"NJ",153,415,"no","no",0,90,32.95,121,16.6,108,8.22,3,2.3,1,"no"
"IA",92,510,"no","yes",25,112,22.78,111,17.51,118,8.13,4,2.62,0,"no"
"WA",13,510,"no","yes",25,65,30.02,96,14.68,128,4.7,5,3.05,2,"no"
"NE",154,415,"no","no",0,93,32.54,119,17.46,121,9.26,3,2.75,3,"no"
"CT",144,510,"yes","yes",35,127,29.72,93,18.67,90,11.51,3,3.46,0,"no"
"WV",48,408,"no","no",0,67,46.78,108,15.32,110,7.15,2,2.13,1,"no"
"ND",94,408,"no","no",0,85,29.58,114,20.49,94,9.35,1,2.13,1,"no"
"UT",139,415,"no","no",0,132,28.05,86,21.22,128,7.66,8,3.4,1,"no"
"MS",126,415,"no","no",0,102,38.88,99,14.34,100,10.06,4,3.19,1,"no"
"MN",122,415,"no","no",0,88,18.34,109,20.04,119,10.29,3,2.57,2,"no"
"NH",139,510,"no","no",0,140,37.62,89,13.41,89,8.66,6,3.05,1,"no"
"LA",95,415,"no","no",0,84,23.99,108,17.97,127,4.67,6,1.59,3,"no"
"KS",131,415,"no","yes",28,87,42.43,138,19.31,92,10.8,3,2.05,3,"no"
"KS",36,510,"no","no",0,83,30.36,103,18.11,119,8.91,5,2.94,1,"no"
"NV",180,510,"no","no",0,96,23.63,64,19.12,118,7.69,5,4.24,2,"no"
"MT",25,415,"no","no",0,98,22.83,109,17.2,100,8.82,5,3.4,2,"no"
